,season,home_team,away_team,down,game_date,game_half,game_seconds_remaining,play_type,ydstogo,yardline_100
191,2009,ATL,MIA,4.0,2009-09-13,Half1,3271.0,field_goal,6,24.0
199,2009,ATL,MIA,4.0,2009-09-13,Half1,3121.0,punt,18,45.0
209,2009,ATL,MIA,4.0,2009-09-13,Half1,2776.0,punt,11,54.0
232,2009,ATL,MIA,4.0,2009-09-13,Half1,2131.0,punt,6,62.0
237,2009,ATL,MIA,4.0,2009-09-13,Half1,2047.0,punt,1,67.0
251,2009,ATL,MIA,4.0,2009-09-13,Half1,1836.0,field_goal,8,18.0
259,2009,ATL,MIA,4.0,2009-09-13,Half2,1709.0,punt,5,79.0
263,2009,ATL,MIA,4.0,2009-09-13,Half2,1620.0,punt,1,62.0
267,2009,ATL,MIA,4.0,2009-09-13,Half2,1507.0,punt,15,79.0
271,2009,ATL,MIA,4.0,2009-09-13,Half2,1375.0,punt,6,44.0
298,2009,ATL,MIA,4.0,2009-09-13,Half2,745.0,field_goal,15,20.0
302,2009,ATL,MIA,4.0,2009-09-13,Half2,701.0,punt,5,67.0
310,2009,ATL,MIA,4.0,2009-09-13,Half2,458.0,field_goal,5,31.0
324,2009,ATL,MIA,4.0,2009-09-13,Half2,250.0,pass,4,15.0
2755,2009,ATL,CAR,4.0,2009-09-20,Half1,3293.0,field_goal,7,20.0
2762,2009,ATL,CAR,4.0,2009-09-20,Half1,3160.0,punt,7,48.0
2766,2009,ATL,CAR,4.0,2009-09-20,Half1,3102.0,punt,9,94.0
2779,2009,ATL,CAR,4.0,2009-09-20,Half1,2806.0,punt,16,43.0
2819,2009,ATL,CAR,4.0,2009-09-20,Half1,1914.0,field_goal,10,32.0
2849,2009,ATL,CAR,4.0,2009-09-20,Half2,1436.0,run,1,15.0
2864,2009,ATL,CAR,4.0,2009-09-20,Half2,973.0,run,1,21.0
2892,2009,ATL,CAR,4.0,2009-09-20,Half2,346.0,punt,9,80.0
2903,2009,ATL,CAR,4.0,2009-09-20,Half2,164.0,pass,10,17.0
2914,2009,ATL,CAR,4.0,2009-09-20,Half2,41.0,punt,1,73.0
15312,2009,ATL,CHI,4.0,2009-10-18,Half1,3543.0,punt,9,70.0
15330,2009,ATL,CHI,4.0,2009-10-18,Half1,3010.0,punt,1,77.0
15336,2009,ATL,CHI,4.0,2009-10-18,Half1,2852.0,punt,1,54.0
15340,2009,ATL,CHI,4.0,2009-10-18,Half1,2750.0,punt,10,84.0
15353,2009,ATL,CHI,4.0,2009-10-18,Half1,2538.0,punt,16,73.0
15370,2009,ATL,CHI,4.0,2009-10-18,Half1,2123.0,punt,10,46.0
15398,2009,ATL,CHI,4.0,2009-10-18,Half2,1590.0,punt,4,64.0
15405,2009,ATL,CHI,4.0,2009-10-18,Half2,1404.0,punt,4,54.0
15410,2009,ATL,CHI,4.0,2009-10-18,Half2,1346.0,punt,5,78.0
15438,2009,ATL,CHI,4.0,2009-10-18,Half2,606.0,no_play,4,36.0
15478,2009,ATL,CHI,4.0,2009-10-18,Half2,34.0,no_play,1,5.0
